study_id,title,doi,journal,year,country,species_english,species_latin,fish_family,sex,age,exposure_id,assay_id,pharmaceutical,pharmaceutical_class,dosage,dosage_unit,duration,duration_unit,immune_trait,immune_category_high,orientation,data_source,control_mean,control_sd,control_se,control_n,treatment_mean,treatment_sd,treatment_se,treatment_n
1647_Kugathas_2011,Synthetic glucocorticoids in the environment: first results on their potential impacts on fish,10.1021/es104105e,Environmental Science and Technology,2011,united kingdom,fathead minnows,Pimephales promelas,Cyprinidae,not reported,adult,1647_Kugathas_2011_exp02,1647_Kugathas_2011_exp02_assay01,beclomethasone dipropionate,anti-inflammatory,1,ug/l,21,days,number of leukocytes 10^3,WBC,1,1647_Kugathas_2011_fig4beclo.jpg,1.45E+02,3.27E+01,1.03E+01,10,1.19E+02,2.22E+01,7.03E+00,10
1741_leet_2022,Exposure to 17?-Ethinylestradiol Results in Differential Susceptibility of Largemouth Bass (Micropterus salmoides) to Bacterial Infection,10.1021/acs.est.2c02250,Environmental Science and Technology,2022,usa,largemouth bass,Micropterus salmoides,Centrarchidae,not reported,juvenile,1741_leet_2022_exp01,1741_leet_2022_exp01_assay01,ee2,contraceptive,2,ng/l,28,days,inflammation score,WBC,0,1741_leet_2022_fig3c.jpg,3.05E+00,1.06E+00,5.30E-01,4,3.02E+00,1.05E+00,3.71E-01,8
1741_leet_2022,Exposure to 17?-Ethinylestradiol Results in Differential Susceptibility of Largemouth Bass (Micropterus salmoides) to Bacterial Infection,10.1021/acs.est.2c02250,Environmental Science and Technology,2022,usa,largemouth bass,Micropterus salmoides,Centrarchidae,not reported,juvenile,1741_leet_2022_exp02,1741_leet_2022_exp02_assay01,ee2,contraceptive,20,ng/l,28,days,inflammation score,WBC,0,1741_leet_2022_fig3c.jpg,3.05E+00,1.06E+00,5.30E-01,4,2.33E+00,1.72E+00,6.09E-01,8
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp01,1877_liu_2020_exp01_assay01,sulfamethoxazole,antibiotic,0.1,ug/l,120,hours,fold change il6,cytokines,-1,1877_liu_2020_fig3a.jpg,1.38E+00,4.77E-01,2.75E-01,3,2.11E+00,6.36E-01,3.67E-01,3
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp02,1877_liu_2020_exp02_assay01,sulfamethoxazole,antibiotic,1,ug/l,120,hours,fold change il6,cytokines,-1,1877_liu_2020_fig3a.jpg,1.38E+00,4.77E-01,2.75E-01,3,1.38E+00,3.18E-01,1.83E-01,3
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp03,1877_liu_2020_exp03_assay01,sulfamethoxazole,antibiotic,10,ug/l,120,hours,fold change il6,cytokines,-1,1877_liu_2020_fig3a.jpg,1.38E+00,4.77E-01,2.75E-01,3,5.14E+00,3.18E+00,1.83E+00,3
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp04,1877_liu_2020_exp04_assay01,sulfamethoxazole,antibiotic,100,ug/l,120,hours,fold change il6,cytokines,-1,1877_liu_2020_fig3a.jpg,1.38E+00,4.77E-01,2.75E-01,3,7.71E+00,2.38E+00,1.38E+00,3
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp01,1877_liu_2020_exp01_assay02,sulfamethoxazole,antibiotic,0.1,ug/l,120,hours,fold change il11a,cytokines,-1,1877_liu_2020_fig3d.jpg,9.53E-01,2.75E-01,1.12E-01,6,2.36E+00,9.61E-01,3.93E-01,6
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp02,1877_liu_2020_exp02_assay02,sulfamethoxazole,antibiotic,1,ug/l,120,hours,fold change il11a,cytokines,-1,1877_liu_2020_fig3d.jpg,9.53E-01,2.75E-01,1.12E-01,6,2.80E+00,6.87E-01,2.80E-01,6
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp03,1877_liu_2020_exp03_assay02,sulfamethoxazole,antibiotic,10,ug/l,120,hours,fold change il11a,cytokines,-1,1877_liu_2020_fig3d.jpg,9.53E-01,2.75E-01,1.12E-01,6,3.98E+00,2.20E+00,8.97E-01,6
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp04,1877_liu_2020_exp04_assay02,sulfamethoxazole,antibiotic,100,ug/l,120,hours,fold change il11a,cytokines,-1,1877_liu_2020_fig3d.jpg,9.53E-01,2.75E-01,1.12E-01,6,2.41E+00,8.24E-01,3.36E-01,6
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp01,1877_liu_2020_exp01_assay03,sulfamethoxazole,antibiotic,0.1,ug/l,120,hours,fold change il1B,cytokines,-1,1877_liu_2020_fig3e.jpg,1.22E+00,6.80E-01,2.78E-01,6,2.56E+00,8.16E-01,3.33E-01,6
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp02,1877_liu_2020_exp02_assay03,sulfamethoxazole,antibiotic,1,ug/l,120,hours,fold change il1B,cytokines,-1,1877_liu_2020_fig3e.jpg,1.22E+00,6.80E-01,2.78E-01,6,2.83E+00,6.80E-01,2.78E-01,6
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp03,1877_liu_2020_exp03_assay03,sulfamethoxazole,antibiotic,10,ug/l,120,hours,fold change il1B,cytokines,-1,1877_liu_2020_fig3e.jpg,1.22E+00,6.80E-01,2.78E-01,6,2.67E+00,1.22E+00,5.00E-01,6
1877_liu_2020,Early exposure to environmental levels of sulfamethoxazole triggers immune and inflammatory response of healthy zebrafish larvae,10.1016/j.scitotenv.2019.134724,Science of the Total Environment,2020,china,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1877_liu_2020_exp04,1877_liu_2020_exp04_assay03,sulfamethoxazole,antibiotic,100,ug/l,120,hours,fold change il1B,cytokines,-1,1877_liu_2020_fig3e.jpg,1.22E+00,6.80E-01,2.78E-01,6,2.22E+00,1.22E+00,5.00E-01,6
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp01,1933_lopeznadal_2018_exp01_assay01,ciprofloxacin,antibiotic,5,ug/l,48,hours,neutrophils,WBC,1,1933_lopeznadal_2018_fig4c1.jpg,2.86E+01,1.96E+01,6.18E+00,10,2.86E+01,6.11E+00,1.93E+00,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp02,1933_lopeznadal_2018_exp02_assay01,oxytetracycline,antibiotic,5,ug/l,48,hours,neutrophils,WBC,1,1933_lopeznadal_2018_fig4c1.jpg,2.86E+01,1.96E+01,6.18E+00,10,2.43E+01,1.10E+01,3.48E+00,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp01,1933_lopeznadal_2018_exp01_assay02,ciprofloxacin,antibiotic,5,ug/l,48,hours,macrophage,WBC,1,1933_lopeznadal_2018_fig4c2.jpg,3.36E+01,1.34E+01,4.25E+00,10,3.52E+01,7.33E+00,2.32E+00,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp02,1933_lopeznadal_2018_exp02_assay02,oxytetracycline,antibiotic,5,ug/l,48,hours,macrophage,WBC,1,1933_lopeznadal_2018_fig4c2.jpg,3.36E+01,1.34E+01,4.25E+00,10,3.17E+01,1.47E+01,4.64E+00,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp01,1933_lopeznadal_2018_exp01_assay03,ciprofloxacin,antibiotic,5,ug/l,48,hours,gene expression il1-b,cytokines,-1,1933_lopeznadal_2018_fig5a.jpg,9.19E-01,2.51E-01,7.95E-02,10,7.24E-01,6.43E-01,2.03E-01,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp02,1933_lopeznadal_2018_exp02_assay03,oxytetracycline,antibiotic,5,ug/l,48,hours,gene expression il1-b,cytokines,-1,1933_lopeznadal_2018_fig5a.jpg,9.19E-01,2.51E-01,7.95E-02,10,6.54E-01,2.79E-01,8.83E-02,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp01,1933_lopeznadal_2018_exp01_assay04,ciprofloxacin,antibiotic,5,ug/l,48,hours,gene expression il22,cytokines,1,1933_lopeznadal_2018_fig5d.jpg,9.83E-01,2.31E-01,7.32E-02,10,2.22E+00,1.26E+00,3.97E-01,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp02,1933_lopeznadal_2018_exp02_assay04,oxytetracycline,antibiotic,5,ug/l,48,hours,gene expression il22,cytokines,1,1933_lopeznadal_2018_fig5d.jpg,9.83E-01,2.31E-01,7.32E-02,10,9.51E-01,4.63E-01,1.46E-01,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp01,1933_lopeznadal_2018_exp01_assay05,ciprofloxacin,antibiotic,5,ug/l,48,hours,gene expression il10,cytokines,1,1933_lopeznadal_2018_fig5g.jpg,6.48E-01,8.35E-01,2.64E-01,10,1.72E-01,7.59E-02,2.40E-02,10
1933_lopeznadal_2018,Exposure to Antibiotics Affects Saponin Immersion-Induced Immune Stimulation and Shift in Microbial Composition in Zebrafish Larvae,10.3389/fmicb.2018.02588,Frontiers in Microbiology,2018,netherlands,zebrafish,Danio rerio,Cyprinidae,not reported,larvae,1933_lopeznadal_2018_exp02,1933_lopeznadal_2018_exp02_assay05,oxytetracycline,antibiotic,5,ug/l,48,hours,gene expression il10,cytokines,1,1933_lopeznadal_2018_fig5g.jpg,6.48E-01,8.35E-01,2.64E-01,10,1.52E-01,2.15E-01,6.80E-02,10
1950_lu_2022,NLRP3 inflammasome is involved in the mechanism of the mitigative effect of lycopene on sulfamethoxazole-induced inflammatory damage in grass carp kidneys,10.1016/j.fsi.2022.03.018,Fish and Shellfish Immunology,2022,china,grass carp,Ctenopharyngodon idella,Cyprinidae,not reported,juvenile,1950_lu_2022_exp01,1950_lu_2022_exp01_assay01,sulfamethoxazole,antibiotic,0.3,ug/l,30,days,gene expression il-1b,cytokines,-1,1950_lu_2022Lfig4a.jpg,1.01E+00,8.70E-02,2.75E-02,10,2.41E+00,3.26E-02,1.03E-02,10
1950_lu_2022,NLRP3 inflammasome is involved in the mechanism of the mitigative effect of lycopene on sulfamethoxazole-induced inflammatory damage in grass carp kidneys,10.1016/j.fsi.2022.03.018,Fish and Shellfish Immunology,2022,china,grass carp,Ctenopharyngodon idella,Cyprinidae,not reported,juvenile,1950_lu_2022_exp01,1950_lu_2022_exp01_assay02,sulfamethoxazole,antibiotic,0.3,ug/l,30,days,gene expression il-6,cytokines,-1,1950_lu_2022Lfig4b.jpg,1.01E+00,8.70E-02,2.75E-02,10,2.03E+00,4.69E-01,1.48E-01,10
1950_lu_2022,NLRP3 inflammasome is involved in the mechanism of the mitigative effect of lycopene on sulfamethoxazole-induced inflammatory damage in grass carp kidneys,10.1016/j.fsi.2022.03.018,Fish and Shellfish Immunology,2022,china,grass carp,Ctenopharyngodon idella,Cyprinidae,not reported,juvenile,1950_lu_2022_exp01,1950_lu_2022_exp01_assay03,sulfamethoxazole,antibiotic,0.3,ug/l,30,days,gene expression cytokine,cytokines,-1,1950_lu_2022Lfig4c.jpg,1.01E+00,8.70E-02,2.75E-02,10,2.18E+00,6.16E-02,1.95E-02,10
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp01,2089_massart_2014_exp01_assay01,ee2,contraceptive,0.01,ug/l,21,days,percentage arcsin lymphocytes + thrombocytes population,WBC,1,2089_massart_2014_fig2a.jpg,1.15E+00,3.74E-02,8.82E-03,18,1.18E+00,6.24E-02,1.47E-02,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp02,2089_massart_2014_exp02_assay01,ee2,contraceptive,0.1,ug/l,21,days,percentage arcsin lymphocytes + thrombocytes population,WBC,1,2089_massart_2014_fig2a.jpg,1.15E+00,3.74E-02,8.82E-03,18,1.19E+00,5.82E-02,1.37E-02,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp03,2089_massart_2014_exp03_assay01,ee2,contraceptive,1,ug/l,21,days,percentage arcsin lymphocytes + thrombocytes population,WBC,1,2089_massart_2014_fig2a.jpg,1.15E+00,3.74E-02,8.82E-03,18,1.20E+00,4.99E-02,1.18E-02,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp01,2089_massart_2014_exp01_assay02,ee2,contraceptive,0.01,ug/l,21,days,percentage arcsin neutrohils population,WBC,1,2089_massart_2014_fig2b.jpg,3.61E-01,3.76E-02,8.87E-03,18,3.39E-01,6.58E-02,1.55E-02,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp02,2089_massart_2014_exp02_assay02,ee2,contraceptive,0.1,ug/l,21,days,percentage arcsin neutrohils population,WBC,1,2089_massart_2014_fig2b.jpg,3.61E-01,3.76E-02,8.87E-03,18,3.30E-01,3.76E-02,8.87E-03,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp03,2089_massart_2014_exp03_assay02,ee2,contraceptive,1,ug/l,21,days,percentage arcsin neutrohils population,WBC,1,2089_massart_2014_fig2b.jpg,3.61E-01,3.76E-02,8.87E-03,18,3.19E-01,4.70E-02,1.11E-02,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp01,2089_massart_2014_exp01_assay03,ee2,contraceptive,0.01,ug/l,21,days,plasma lysozyme activity (unit),humoral-mediated,1,2089_massart_2014_fig4.jpg,1.29E+01,2.56E+00,6.04E-01,18,1.41E+01,5.64E+00,1.33E+00,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp02,2089_massart_2014_exp02_assay03,ee2,contraceptive,0.1,ug/l,21,days,plasma lysozyme activity (unit),humoral-mediated,1,2089_massart_2014_fig4.jpg,1.29E+01,2.56E+00,6.04E-01,18,1.65E+01,1.02E+01,2.42E+00,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp03,2089_massart_2014_exp03_assay03,ee2,contraceptive,1,ug/l,21,days,plasma lysozyme activity (unit),humoral-mediated,1,2089_massart_2014_fig4.jpg,1.29E+01,2.56E+00,6.04E-01,18,2.07E+01,1.23E+01,2.90E+00,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp01,2089_massart_2014_exp01_assay04,ee2,contraceptive,0.01,ug/l,21,days,gene expression il-1b,cytokines,-1,2089_massart_2014_fig7c.jpg,2.73E+00,1.02E+00,2.39E-01,18,1.72E+00,8.12E-01,1.91E-01,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp02,2089_massart_2014_exp02_assay04,ee2,contraceptive,0.1,ug/l,21,days,gene expression il-1b,cytokines,-1,2089_massart_2014_fig7c.jpg,2.73E+00,1.02E+00,2.39E-01,18,2.01E+00,1.22E+00,2.87E-01,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp03,2089_massart_2014_exp03_assay04,ee2,contraceptive,1,ug/l,21,days,gene expression il-1b,cytokines,-1,2089_massart_2014_fig7c.jpg,2.73E+00,1.02E+00,2.39E-01,18,2.30E+00,1.02E+00,2.39E-01,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp01,2089_massart_2014_exp01_assay05,ee2,contraceptive,0.01,ug/l,21,days,plasma immunoglobulins ug/ml,humoral-mediated,1,2089_massart_2014_fig8b.jpg,1.26E-01,1.06E-01,2.50E-02,18,1.34E-01,1.12E-01,2.63E-02,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp02,2089_massart_2014_exp02_assay05,ee2,contraceptive,0.1,ug/l,21,days,plasma immunoglobulins ug/ml,humoral-mediated,1,2089_massart_2014_fig8b.jpg,1.26E-01,1.06E-01,2.50E-02,18,1.34E-01,1.12E-01,2.63E-02,18
2089_massart_2014,"Influence of short-term exposure to low levels of 17?-ethynylestradiol on expression of genes involved in immunity and on immune parameters in rainbow trout, Oncorhynchus mykiss",10.1016/j.aquatox.2014.10.003,Aquatic Toxicology,2014,france,rainbow trout,Oncorhynchus mykiss,Salmonidae,male,juvenile,2089_massart_2014_exp03,2089_massart_2014_exp03_assay05,ee2,contraceptive,1,ug/l,21,days,plasma immunoglobulins ug/ml,humoral-mediated,1,2089_massart_2014_fig8b.jpg,1.26E-01,1.06E-01,2.50E-02,18,1.20E-01,6.14E-02,1.45E-02,18
2389_ogueji_2018,"Acute toxicity effects of ibuprofen on behaviour and haematological parameters of African catfish Clarias gariepinus (Burchell, 1822)",10.2989/16085914.2018.1465393,African Journal of Aquatic Science,2018,nigeria,african catfish,Clarias gariepinus,Clariidae,not reported,juvenile,2389_ogueji_2018_exp01,2389_ogueji_2018_exp01_assay01,ibuprofen,anti-inflammatory,0.28,mg/l,96,hours,wbc x10^6 cells/mm3,WBC,1,2389_ogueji_2018_fig1d.jpg,6.21E+00,4.62E-01,2.67E-01,3,6.93E+00,5.28E-01,3.05E-01,3
2389_ogueji_2018,"Acute toxicity effects of ibuprofen on behaviour and haematological parameters of African catfish Clarias gariepinus (Burchell, 1822)",10.2989/16085914.2018.1465393,African Journal of Aquatic Science,2018,nigeria,african catfish,Clarias gariepinus,Clariidae,not reported,juvenile,2389_ogueji_2018_exp02,2389_ogueji_2018_exp02_assay01,ibuprofen,anti-inflammatory,0.33,mg/l,96,hours,wbc x10^6 cells/mm3,WBC,1,2389_ogueji_2018_fig1d.jpg,6.21E+00,4.62E-01,2.67E-01,3,7.58E+00,5.94E-01,3.43E-01,3
2389_ogueji_2018,"Acute toxicity effects of ibuprofen on behaviour and haematological parameters of African catfish Clarias gariepinus (Burchell, 1822)",10.2989/16085914.2018.1465393,African Journal of Aquatic Science,2018,nigeria,african catfish,Clarias gariepinus,Clariidae,not reported,juvenile,2389_ogueji_2018_exp03,2389_ogueji_2018_exp03_assay01,ibuprofen,anti-inflammatory,0.38,mg/l,96,hours,wbc x10^6 cells/mm3,WBC,1,2389_ogueji_2018_fig1d.jpg,6.21E+00,4.62E-01,2.67E-01,3,7.73E+00,5.28E-01,3.05E-01,3
2389_ogueji_2018,"Acute toxicity effects of ibuprofen on behaviour and haematological parameters of African catfish Clarias gariepinus (Burchell, 1822)",10.2989/16085914.2018.1465393,African Journal of Aquatic Science,2018,nigeria,african catfish,Clarias gariepinus,Clariidae,not reported,juvenile,2389_ogueji_2018_exp04,2389_ogueji_2018_exp04_assay01,ibuprofen,anti-inflammatory,0.43,mg/l,96,hours,wbc x10^6 cells/mm3,WBC,1,2389_ogueji_2018_fig1d.jpg,6.21E+00,4.62E-01,2.67E-01,3,8.30E+00,5.94E-01,3.43E-01,3
2389_ogueji_2018,"Acute toxicity effects of ibuprofen on behaviour and haematological parameters of African catfish Clarias gariepinus (Burchell, 1822)",10.2989/16085914.2018.1465393,African Journal of Aquatic Science,2018,nigeria,african catfish,Clarias gariepinus,Clariidae,not reported,juvenile,2389_ogueji_2018_exp05,2389_ogueji_2018_exp05_assay01,ibuprofen,anti-inflammatory,0.48,mg/l,96,hours,wbc x10^6 cells/mm3,WBC,1,2389_ogueji_2018_fig1d.jpg,6.21E+00,4.62E-01,2.67E-01,3,8.46E+00,5.94E-01,3.43E-01,3
2389_ogueji_2018,"Acute toxicity effects of ibuprofen on behaviour and haematological parameters of African catfish Clarias gariepinus (Burchell, 1822)",10.2989/16085914.2018.1465393,African Journal of Aquatic Science,2018,nigeria,african catfish,Clarias gariepinus,Clariidae,not reported,juvenile,2389_ogueji_2018_exp01,2389_ogueji_2018_exp01_assay02,ibuprofen,anti-inflammatory,0.28,mg/l,96,hours,neutrophil count,WBC,1,2389_ogueji_2018_fig3a.jpg,2.02E+01,1.24E+00,7.14E-01,3,2.00E+01,1.65E+00,9.52E-01,3
2389_ogueji_2018,"Acute toxicity effects of ibuprofen on behaviour and haematological parameters of African catfish Clarias gariepinus (Burchell, 1822)",10.2989/16085914.2018.1465393,African Journal of Aquatic Science,2018,nigeria,african catfish,Clarias gariepinus,Clariidae,not reported,juvenile,2389_ogueji_2018_exp02,2389_ogueji_2018_exp02_assay02,ibuprofen,anti-inflammatory,0.33,mg/l,96,hours,neutrophil count,WBC,1,2389_ogueji_2018_fig3a.jpg,2.02E+01,1.24E+00,7.14E-01,3,1.81E+01,1.24E+00,7.14E-01,3
